criterion,aspect,score,finding
Correctness,Physical plausibility,+,"6,241/3,240,726 pack voltage/current/temperature readings (0.193%) outside the paper- and structure-derived bounds. Pack voltage checked per chemistry: NCM 250.0-400.0 V, LFP 450.0-620.0 V. Pack current -350.0 to 200.0 A; battery temperature 0.0-60.0 C (widened from the paper's 10-40 C to cover summer operation). Cell-level voltage and temperature are excluded because Vehicle#7 does not broadcast them."
Correctness,Current sign convention,o,"Convention verified from raw CAN data (the README states the opposite; the data is authoritative): negative = charging, positive = discharging. Charging (signal=1, n=140,569): 96.65% of rows have negative current — this is the primary convention signal and it is essentially exact. Driving (signal=3, n=762,074): 82.08% of rows have positive current; the remaining 17.92% are negative due to regen braking, which is legitimate physics in a real EV duty cycle, not a sign violation. Drive-side tolerance: >= 75% positive-dominant is the physical floor for typical city/highway mixes."
Completeness,Missing values,++,"0.0184% missing across powertrain-level essential columns ['time', 'hv_voltage', 'hv_current', 'bcell_soc']. Cell-level columns (bcell_maxVoltage, bcell_minVoltage, bcell_maxTemp, bcell_minTemp) are structurally absent for Vehicle#7 and are excluded from this check by design."
Completeness,Temporal continuity,o,Average within-vehicle sampling continuity (no gaps >5x the median interval): 96.93%. Real-world telematics streams have natural connectivity gaps; this quantifies how many remain.
Completeness,Test protocol documentation,o,"5/7 essential protocol elements documented (71%). Two gaps: the README's stated current convention is contradicted by the raw data, and pack structure for Vehicles #7-#10 is partly confidential."
Anomaly and noise control,Statistical outliers,+,0.483% of pack-voltage readings fall outside the 3xIQR range (averaged across 10 vehicles).
Anomaly and noise control,Unexpected signal changes,o,3.753% of consecutive pack-voltage changes exceed the 3xIQR range of transition sizes. Real-world driving includes legitimate step changes from load switching and regen braking.
Anomaly and noise control,Measurement noise,++,"Median sample-to-sample pack-voltage fluctuation during low-current (quiet) periods is 0.0047% of each vehicle's median pack voltage, computed from 8 vehicles with sufficient quiet samples."
Representativeness and diversity,Chemistry diversity,+,"2 chemistries across the fleet (['LFP', 'NCM'])."
Representativeness and diversity,Vehicle type diversity,+,"2 vehicle types across the fleet (['Bus', 'Passenger'])."
Representativeness and diversity,Temperature conditions,++,"3 distinct mean temperature level(s) across vehicles ([28.0, 29.0, 33.0] C, excluding Vehicle#7 which lacks cell temperature data). Real-world temperature variation, not controlled setpoints."
Representativeness and diversity,Dynamic load profiles,+,Real-world dynamic operation present by construction. Mean speed std across vehicles: 24.5 km/h. Mean current std: 53.2 A. Both driving and charging profiles are naturally variable.
Representativeness and diversity,Real-world operation,++,"On-road fleet operation across 10 vehicles with cumulative mileages ranging widely. All data collected from vehicles in service, not laboratory replays."
Representativeness and diversity,Replicate vehicles,+,"5.0 vehicles per chemistry on average (NCM: 6, LFP: 4)."
Representativeness and diversity,Calendar aging,-,"Documentation reports no dedicated calendar-aging experiment; the dataset captures real-world cyclic operation only, with rest periods not structured as a calendar-aging study."
Distribution balance,SOC range coverage,++,SOC range covered across the fleet: 1.0% to 100.0%. Real-world driving spans the full usable SOC window.
Distribution balance,SOC distribution balance,++,Largest SOC bin holds 35.6% of all records. Real-world fleet operation clusters around mid-to-high SOC.
Distribution balance,Vehicle data balance,-,"Coefficient of variation of row counts across vehicles: 69.7%. Min: 32,244 (Vehicle#10), Max: 324,100 (Vehicle#7)."
Temporal coherence,Monotonic temporal progression,++,"0/10 vehicles have non-monotonic timestamps. The time column is a numeric millisecond counter (not an epoch), and ordering is preserved within each vehicle file."
Temporal coherence,Mileage progression,++,100.0000% of consecutive mileage transitions are non-decreasing beyond a 1.0 km tolerance. Sub-kilometer fluctuations (odometer rounding) are not flagged.
Temporal coherence,Event identification,+,Charging events present in 10/10 vehicles; driving events in 9/10. Both operation modes are captured for nearly every vehicle.
