criterion,aspect,score,finding
Correctness,Physical plausibility,++,"357/74,477,352 pack voltage/current/temperature/SOC readings (0.000%) outside the paper-derived bounds. Pack voltage 240.0-408.0 V (96S NCM: 96 x 2.5 V lower cutoff, 96 x 4.25 V upper cutoff from the paper). Pack current -400.0-400.0 A (QC guard rail, not paper-derived; observed peak ~340 A). Battery temperature -20.0-60.0 C (generic Li-ion envelope; paper does not specify a thermal window). SOC 0.0-110.0% (nominal 0-100%, with 10% tolerance for regen-into-full-pack behavior). Sentinel rows (chargestatus=255, 0 V pack placeholder, -40 C temperature placeholder) excluded before the check. Denominator 74,477,352 non-NaN readings summed across the four signals."
Correctness,Current sign convention,o,"Convention verified from raw data (not stated in the paper): negative = charging, positive = discharging. Charging (status=1, n=2,643,505): 98.34% of rows have negative current. Driving (status=3, n=15,853,180): 79.99% of rows have positive current; the remaining 20.01% are negative due to regen braking, which is legitimate physics. Drive-side tolerance: >= 75% positive-dominant is the physical floor for typical city/highway mixes."
Completeness,Missing values,++,"0.0098% missing across powertrain-level essential columns ['terminaltime', 'soc', 'totalvoltage', 'totalcurrent', 'maxtemperaturevalue']. Stringified-array columns (batteryvoltage, probetemperatures) are excluded — they store per-cell/per-probe values in a single text field and are not scalar measurements."
Completeness,Temporal continuity,+,Average within-vehicle sampling continuity (no gaps >5x the median interval): 99.29%. BMS stops recording when the vehicle is switched off; gaps between sessions are expected.
Completeness,Test protocol documentation,+,7/8 essential protocol elements documented (88%). The current sign convention is not stated in the paper or README and was inferred from the raw data.
Anomaly and noise control,Statistical outliers,++,0.017% of pack-voltage readings fall outside the 3xIQR range (averaged across 94 vehicles). Note: this check targets voltage only; SOC plausibility is covered separately under Correctness -> Physical plausibility.
Anomaly and noise control,Unexpected signal changes,o,3.671% of consecutive pack-voltage changes exceed the 3xIQR range of transition sizes. Real-world driving includes legitimate step changes from load switching and regen braking.
Anomaly and noise control,Measurement noise,++,"Median sample-to-sample pack-voltage fluctuation during low-current (quiet) periods is 0.0468% of each vehicle's median pack voltage, computed from 81 vehicles with sufficient quiet samples."
Representativeness and diversity,Chemistry diversity,o,"1 chemistry (NCM) across the fleet. Single-chemistry dataset, enabling focused NCM analysis but limiting cross-chemistry comparison."
Representativeness and diversity,Vehicle type diversity,+,2 vehicle classes per the paper: passenger vehicles and commercial vans.
Representativeness and diversity,Temperature conditions,++,"21 distinct mean temperature level(s) across vehicles ([15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0] C). Real-world temperature variation from seasons, climates, and self-heating; no controlled setpoints."
Representativeness and diversity,Dynamic load profiles,+,"Real-world dynamic operation present by construction. Mean speed std across vehicles: 20.8 km/h. Mean current std: 35.0 A. Both driving and charging profiles are naturally variable, including regen braking."
Representativeness and diversity,Real-world operation,++,"On-road operation across 94 production EVs. All data collected from vehicles in service, not laboratory replays."
Representativeness and diversity,Replicate vehicles,++,94 vehicles in the sampled folder (300 in the full dataset per the paper). Large fleet enabling statistical analysis of cell-to-cell and vehicle-to-vehicle variability.
Representativeness and diversity,Calendar aging,-,"Documentation reports no dedicated calendar-aging experiment; the dataset captures real-world cyclic operation only, with rest periods not structured as a calendar-aging study."
Distribution balance,SOC range coverage,o,"SOC range covered across the fleet: 0.0% to 127.0%. 357/18,619,338 readings (0.002%) exceed 100%. Values >100% are consistent with regen-into-full-pack behavior where the BMS reports usable SOC above nominal 100%, or with a units/scale artifact in the soc column; values >110% would be treated as implausible under Correctness -> Physical plausibility. This is a caveat, not a strength."
Distribution balance,SOC distribution balance,++,Largest SOC bin holds 31.1% of all sampled records. Real-world fleet operation clusters around mid-to-high SOC.
Distribution balance,Vehicle data balance,++,"Coefficient of variation of row counts across vehicles: 4.8%. Min: 127,718 (vin110), Max: 200,000 (vin100). The cap of 200,000 rows per file bounds the sampled distribution; the observed CV reflects which vehicles had at least that many rows."
Temporal coherence,Monotonic temporal progression (within-session),++,"16,200/16,200 sessions (100.00%) have monotonic non-decreasing terminaltime. Sessions detected by counter reset (terminaltime drops to 0 at each BMS wake-up). The terminaltime column is a per-session seconds counter, not an epoch — global monotonicity across sessions is not expected and is therefore not scored. Average sessions per vehicle: 172.3. Worst vehicle: None (0.0% of its sessions non-monotonic)."
Temporal coherence,Mileage progression,++,100.0000% of consecutive mileage transitions are non-decreasing beyond a 1.0 km tolerance. Sub-kilometer fluctuations (odometer rounding) are not flagged.
Temporal coherence,Event identification,++,"chargestatus values observed: [1.0, 3.0, 4.0]. Known mapping: 0=rest, 1=charging, 3=driving, 4=full. All observed modes are recognised."
